transaction_id,user_id,amount,timestamp,city
T001,U01,1200,2025-01-01T10:15:00,Mumbai
T002,U01,1600,2025-01-01T10:17:00,Mumbai
T003,U01,5500,2025-01-01T11:00:00,Goa
T004,U02,75000,2025-01-01T11:05:00,Delhi
T005,U02,76000,2025-01-01T11:10:00,Delhi
T006,U02,77000,2025-01-01T11:12:00,Chennai
T007,U03,300,2025-01-01T11:15:00,Pune
T008,U03,330,2025-01-01T11:20:00,Pune
T009,U03,340,2025-01-01T11:22:00,Pune
T010,U04,150000,2025-01-01T11:25:00,Bangalore
T011,U04,155000,2025-01-01T11:30:00,Bangalore
T012,U05,500,2025-01-01T11:35:00,Nagpur
T013,U05,520,2025-01-01T11:36:00,Nagpur
T014,U05,515,2025-01-01T11:38:00,Nagpur
T015,U06,10000,2025-01-01T11:40:00,Hyderabad
T016,U06,12000,2025-01-01T11:45:00,Hyderabad
T017,U07,200,2025-01-01T11:50:00,Surat
T018,U07,220,2025-01-01T11:52:00,Surat
T019,U08,9000,2025-01-01T11:55:00,Indore
T020,U08,9100,2025-01-01T11:56:30,Indore
T021,U09,45000,2025-01-01T12:00:00,Delhi
T022,U09,46000,2025-01-01T12:01:30,Delhi
T023,U10,250,2025-01-01T12:05:00,Mumbai
T024,U10,260,2025-01-01T12:07:00,Mumbai
T025,U11,80000,2025-01-01T12:10:00,Kolkata
T026,U11,82000,2025-01-01T12:13:00,Kolkata
T027,U12,1500,2025-01-01T12:15:00,Chennai
T028,U12,1550,2025-01-01T12:16:00,Chennai
T029,U13,72000,2025-01-01T12:20:00,Delhi
T030,U13,71000,2025-01-01T12:23:00,Gurgaon
T031,U14,300,2025-01-01T12:25:00,Pune
T032,U14,310,2025-01-01T12:27:00,Pune
T033,U15,2000,2025-01-01T12:30:00,Mumbai
T034,U15,2100,2025-01-01T12:31:00,Mumbai
T035,U16,95000,2025-01-01T12:35:00,Hyderabad
T036,U16,94000,2025-01-01T12:38:00,Bangalore
T037,U17,600,2025-01-01T12:40:00,Nashik
T038,U17,620,2025-01-01T12:42:00,Nashik
T039,U18,35000,2025-01-01T12:45:00,Delhi
T040,U18,36000,2025-01-01T12:46:30,Chandigarh
T041,U19,150,2025-01-01T12:50:00,Surat
T042,U19,155,2025-01-01T12:51:30,Surat
T043,U20,50000,2025-01-01T12:55:00,Jaipur
T044,U20,52000,2025-01-01T12:58:00,Ahmedabad
T045,U21,700,2025-01-01T13:00:00,Nagpur
T046,U21,730,2025-01-01T13:02:30,Nagpur
T047,U22,110000,2025-01-01T13:05:00,Mumbai
T048,U22,112000,2025-01-01T13:07:00,Goa
T049,U23,400,2025-01-01T13:10:00,Pune
T050,U23,420,2025-01-01T13:11:30,Pune
